time,open,high,low,close,atr_1.5,EMA20COLOR,aroon_strength
2024-07-15 17:40:00,18610.24,18616.28,18606.24,18607.79,False,White,Neutro
2024-07-15 17:45:00,18608.85,18614.3,18602.26,18610.28,False,White,Neutro
2024-07-15 17:50:00,18610.87,18613.28,18604.82,18606.28,False,White,Neutro
2024-07-15 17:55:00,18606.83,18610.82,18605.91,18607.91,False,White,Neutro
2024-07-15 18:00:00,18608.29,18608.3,18591.86,18594.31,False,White,Neutro
2024-07-15 18:05:00,18593.9,18599.87,18590.82,18599.87,False,Red,Neutro
2024-07-15 18:10:00,18599.32,18600.31,18583.28,18583.31,False,White,Neutro
2024-07-15 18:15:00,18584.29,18590.32,18579.84,18585.32,False,Red,Neutro
2024-07-15 18:20:00,18585.86,18590.34,18579.3,18587.93,False,Red,Neutro
2024-07-15 18:25:00,18588.31,18588.31,18578.31,18583.02,False,Red,Neutro
2024-07-15 18:30:00,18582.1,18584.33,18572.93,18576.34,False,Red,Neutro
2024-07-15 18:35:00,18576.94,18579.36,18571.84,18575.33,False,Red,Neutro
2024-07-15 18:40:00,18574.36,18589.97,18568.33,18572.33,False,White,Neutro
2024-07-15 18:45:00,18573.36,18574.37,18556.95,18568.96,False,Red,Neutro
2024-07-15 18:50:00,18568.35,18572.39,18566.38,18571.37,False,Red,Forte Baixa
2024-07-15 18:55:00,18571.01,18581.04,18568.37,18575.38,False,Red,Forte Baixa
2024-07-15 19:00:00,18576.38,18576.38,18553.85,18561.41,False,Red,Forte Baixa
2024-07-15 19:05:00,18561.01,18578.41,18560.36,18575.98,False,Red,Forte Baixa
2024-07-15 19:10:00,18576.38,18576.39,18559.02,18562.4,False,Red,Forte Baixa
2024-07-15 19:15:00,18561.98,18567.42,18555.99,18564.41,False,Red,Médio
2024-07-15 19:20:00,18563.42,18574.42,18558.41,18572.42,False,Red,Médio
2024-07-15 19:25:00,18572.0,18572.4,18555.39,18561.43,False,Red,Médio
2024-07-15 19:30:00,18560.98,18560.98,18543.91,18547.41,False,Red,Forte Baixa
2024-07-15 19:35:00,18548.04,18555.96,18547.41,18551.43,False,Red,Neutro
2024-07-15 19:40:00,18550.46,18556.06,18550.03,18551.46,False,Red,Forte Baixa
2024-07-15 19:45:00,18551.04,18555.97,18548.96,18551.45,False,Red,Médio
2024-07-15 19:50:00,18551.06,18563.43,18551.06,18561.44,False,Red,Médio
2024-07-15 19:55:00,18561.06,18562.02,18553.45,18554.48,False,Red,Médio
2024-07-15 20:00:00,18555.41,18563.48,18551.08,18563.48,False,Red,Médio
2024-07-15 20:05:00,18563.02,18565.48,18557.45,18564.49,False,White,Médio
2024-07-15 20:10:00,18565.48,18568.05,18554.44,18560.49,False,White,Neutro
2024-07-15 20:15:00,18561.01,18565.5,18557.49,18563.48,False,White,Neutro
2024-07-15 20:20:00,18564.01,18579.16,18563.5,18576.5,False,White,Neutro
2024-07-15 20:25:00,18576.12,18581.07,18572.03,18580.12,False,Green,Neutro
2024-07-15 20:30:00,18580.4,18591.52,18577.51,18587.5,False,Green,Forte Alta
2024-07-15 20:35:00,18588.02,18591.07,18579.14,18583.53,False,Green,Forte Alta
2024-07-15 20:40:00,18584.06,18588.14,18582.49,18584.53,False,Green,Forte Alta
2024-07-15 20:45:00,18585.07,18587.13,18581.54,18582.55,False,Green,Médio
2024-07-15 20:50:00,18582.09,18586.18,18577.51,18584.11,False,Green,Médio
2024-07-15 20:55:00,18583.51,18590.44,18583.51,18590.11,False,Green,Médio
2024-07-15 21:00:00,18590.54,18593.14,18588.14,18590.16,False,Green,Forte Alta
2024-07-15 21:05:00,18589.54,18594.17,18585.57,18592.56,False,Green,Forte Alta
2024-07-15 21:10:00,18591.53,18594.58,18590.54,18594.55,False,Green,Forte Alta
2024-07-15 21:15:00,18593.57,18599.57,18591.54,18599.48,False,Green,Forte Alta
2024-07-15 21:20:00,18597.59,18599.1,18593.56,18596.6,False,Green,Forte Alta
2024-07-15 21:25:00,18596.2,18596.56,18588.12,18590.18,False,Green,Forte Alta
